INCIDENT_ID,INCIDENT_NAME,DESCRIPTION,SEVERITY_ID,INCIDENT_TYPE_ID,ASSIGNED_USER_ID,ASSIGNED_DATE,RESOLUTION_DATE,DATE_FROM,DATE_TO,SOURCE_ID,ASSIGNED_ROLE_ID,LEVEL_ID,CUST_SATISFY,PRODUCT_ID,DIM_RELEASE_ID,INCIDENT_UNIQUEID,INC_STATUS_ID,INC_STATUS,INCIDENT_DUE
13,Navigation issue,Navigation issue,1,2,NULL,2018-10-24 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,BGJ-594-72362,7,Client Action Required,0
14,Executive Dashboard Report not Refreshing correctly,Executive Dashboard Report not Refreshing correctly,1,7,NULL,2018-10-24 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,KUH-134-79926,7,Client Action Required,0
15,I have a scenario where a test case fails but does not show any error message.,I have a scenario where a test case fails but does not show any error message.,1,2,NULL,2018-10-24 00:00:00,2018-11-12 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,IBI-206-26698,3,Closed,0
16,Question regarding adding possible verfication prompt when deploying to Production Environment,Question regarding adding possible verfication prompt when deploying to Production Environment,1,6,NULL,2018-10-27 00:00:00,2018-11-19 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,128,2,NULL,112,41,KQU-458-36082,7,Client Action Required,1
17,Should Smart Scripting support the error message `no records matched the selection criteria`,Should Smart Scripting support the error message `no records matched the selection criteria`,1,6,NULL,2018-11-01 00:00:00,2018-11-14 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,MST-169-91279,3,Closed,0
18,"Commerce:test step faild to click the selection screen ","Commerce:test step faild to click the selection screen ",1,2,NULL,2018-11-01 00:00:00,2018-11-08 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,PUU-200-27255,3,Closed,0
19,FTP connection error,FTP connection error,1,2,NULL,2018-11-05 00:00:00,2018-11-19 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,137,2,NULL,110,39,BMY-554-16237,7,Client Action Required,0
20,Multivalue filelds in records not being imported properly in ABC,Multivalue filelds in records not being imported properly in ABC,3,2,NULL,2018-11-07 00:00:00,2018-11-19 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,128,2,NULL,112,41,JXT-658-42052,9,Validata Action Required,0
21,FinIQ Recording error in attribute,FinIQ Recording error in attribute,2,2,NULL,2018-02-19 00:00:00,2018-03-13 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,BGY-318-15554,4,On Hold,0
22,[FINIQ] Dealer WorkFlow Log Screen,[FINIQ] Dealer WorkFlow Log Screen,1,2,NULL,2018-03-21 00:00:00,2018-05-16 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,131,2,NULL,110,39,NEN-699-38362,4,On Hold,0
23,"Routine compilation happens depending upon the No of components loaded in the package ","Routine compilation happens depending upon the No of components loaded in the package ",1,2,NULL,2018-05-02 00:00:00,2018-07-30 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,137,2,NULL,110,39,DNO-629-54990,4,On Hold,0
24,Commerce: Creation T24 transaction step - Drop down lists no results,Commerce: Creation T24 transaction step - Drop down lists no results,2,2,NULL,2018-07-13 00:00:00,2018-08-14 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,SJI-669-48132,4,On Hold,0
25,[FINIQ] Invalid Input Error,[FINIQ] Invalid Input Error,3,2,NULL,2018-08-03 00:00:00,2018-09-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,CHB-569-10159,4,On Hold,0
26,[FINIQ] Invalid Input Error,[FINIQ] Invalid Input Error,3,2,NULL,2018-08-03 00:00:00,2018-09-07 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,HPV-608-88372,4,On Hold,0
27,[FINIQ] Help on picking up data from table,[FINIQ] Help on picking up data from table,3,2,NULL,2018-08-03 00:00:00,2018-08-23 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,WMX-436-67237,4,On Hold,0
28,Modification of  validata_user on the server,Modification of  validata_user on the server,1,6,NULL,2018-08-14 00:00:00,2018-08-24 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,140,2,NULL,110,39,VHY-414-76648,4,On Hold,0
29,Unable to create a T24 Arrangement via OFS Test Step,Unable to create a T24 Arrangement via OFS Test Step,1,2,NULL,2018-08-17 00:00:00,2018-09-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,140,2,NULL,110,39,QNZ-214-18668,4,On Hold,0
30,Diferences between enquiries,Diferences between enquiries,1,2,NULL,2018-10-10 00:00:00,2018-11-07 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,136,2,NULL,110,39,HGG-740-76654,4,On Hold,0
31,Timeout when trying to use Model Synchronization Wizard,Timeout when trying to use Model Synchronization Wizard,1,2,NULL,2018-11-09 00:00:00,2018-11-15 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,137,2,NULL,110,39,XJN-749-91512,3,Closed,0
32,"Commerce:Can be added Operator -Between in ATS ","Commerce:Can be added Operator -Between in ATS ",2,4,NULL,2018-11-09 00:00:00,2018-11-19 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,UQT-666-67181,7,Client Action Required,0
33,BUILD CONTROL deployment NOT Working,BUILD CONTROL deployment NOT Working,1,2,NULL,2018-11-09 00:00:00,2018-11-15 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,137,2,NULL,110,39,OCI-149-13476,3,Closed,0
34,"HPQC synchronization Problem -- Missing Custom field in ATS ","HPQC synchronization Problem -- Missing Custom field in ATS ",2,2,NULL,2018-02-28 00:00:00,2018-05-29 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,FGF-140-70561,3,Closed,0
35,Create a function in C# for AutomaticCalculationCS for Frequency calculation,Create a function in C# for AutomaticCalculationCS for Frequency calculation,3,2,NULL,2018-05-03 00:00:00,2018-05-17 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,XEY-642-21567,3,Closed,0
36,BOS- Create Security - we can not override the default value,BOS- Create Security - we can not override the default value,4,2,NULL,2018-05-04 00:00:00,2018-05-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,NRD-556-82226,3,Closed,0
37,Multivalue check step is not comparing overrides,Multivalue check step is not comparing overrides,1,2,NULL,2018-05-09 00:00:00,2018-05-23 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,RQJ-454-97121,3,Closed,0
38,"BOS - support to proccess the Swift Incomming msg thru jsh adapter ","BOS - support to proccess the Swift Incomming msg thru jsh adapter ",4,2,NULL,2018-05-09 00:00:00,2018-05-16 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,WKD-943-47823,3,Closed,0
39,Performance is very low when during execution with Web Adapter in NYVB,Performance is very low when during execution with Web Adapter in NYVB,3,2,NULL,2018-05-14 00:00:00,2018-06-14 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,BVW-775-30618,3,Closed,0
40,Stanbic Interfaces TCs-- Mobile and ATM,Stanbic Interfaces TCs-- Mobile and ATM,3,2,NULL,2018-05-15 00:00:00,2018-05-29 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,SXQ-124-79376,3,Closed,0
41,Create Kayako Users for Stanbic,Create Kayako Users for Stanbic,2,2,NULL,2018-05-15 00:00:00,2018-05-22 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,EAJ-398-11868,3,Closed,0
42,Problem During Swift Parsing - MT103 Outgoing,Problem During Swift Parsing - MT103 Outgoing,4,2,NULL,2018-05-16 00:00:00,2018-05-23 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,IUG-207-95429,3,Closed,0
43,BOS Corporate Actions - Response Data incorrect updated,BOS Corporate Actions - Response Data incorrect updated,4,2,NULL,2018-05-16 00:00:00,2018-06-11 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,TEL-240-85924,3,Closed,0
44,Trade Finance Authorization Problem during execution,Trade Finance Authorization Problem during execution,4,2,NULL,2018-05-17 00:00:00,2018-06-11 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,EPM-440-64233,3,Closed,0
45,BOS Corporate Actions: New tag 92F fields needed in MT564,BOS Corporate Actions: New tag 92F fields needed in MT564,4,2,NULL,2018-05-18 00:00:00,2018-06-07 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,LYU-742-75269,3,Closed,0
46,BOS Corporate Action - Old typical displayed for SWIFT step,BOS Corporate Action - Old typical displayed for SWIFT step,4,2,NULL,2018-05-18 00:00:00,2018-05-28 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,NSN-806-10546,3,Closed,0
47,TC execution failed in LC DRAWING,TC execution failed in LC DRAWING,4,2,NULL,2018-05-21 00:00:00,2018-05-29 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,YMO-486-38253,3,Closed,0
48,BOS: Forex typical issue - No Values in execution result instance,BOS: Forex typical issue - No Values in execution result instance,5,2,NULL,2018-05-22 00:00:00,2018-07-11 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,BWM-286-29263,3,Closed,0
49,360 Delta load problem - Stanbic,360 Delta load problem - Stanbic,4,2,NULL,2018-05-22 00:00:00,2018-05-28 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,RUP-726-31285,3,Closed,0
50,MT103 incoming -- double header,MT103 incoming -- double header,1,2,NULL,2018-05-22 00:00:00,2018-05-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,BNP-972-59401,3,Closed,0
51,Traceability Report discrepancies in ATS - Stanbic,Traceability Report discrepancies in ATS - Stanbic,2,2,NULL,2018-05-23 00:00:00,2018-06-29 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,XHX-176-53186,3,Closed,0
52,Import Manual TC to ATS from other applications,Import Manual TC to ATS from other applications,1,6,NULL,2018-05-29 00:00:00,2018-06-01 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,RPF-833-27423,3,Closed,0
53,"Sagicor V-conn Sql Adapter: Cannot load after transformation to sql table ","Sagicor V-conn Sql Adapter: Cannot load after transformation to sql table ",1,2,NULL,2018-06-07 00:00:00,2018-06-08 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,111,40,OFH-586-66154,3,Closed,0
54,BOS- ISB R17 Validation,BOS- ISB R17 Validation,5,2,NULL,2018-06-13 00:00:00,2018-06-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,MBN-823-28303,3,Closed,0
55,BOS issue with T24 check transaction step,BOS issue with T24 check transaction step,4,3,NULL,2018-06-21 00:00:00,2018-06-27 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,JKU-925-88665,3,Closed,0
56,Problem with execution of TC with Web Adapter in NYVB (TC failing),Problem with execution of TC with Web Adapter in NYVB (TC failing),4,2,NULL,2018-06-27 00:00:00,2018-07-09 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,XPG-359-12322,3,Closed,0
57,ATS is to slow (NYVB),ATS is to slow (NYVB),2,2,NULL,2018-06-27 00:00:00,2018-09-20 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,KLQ-829-52709,3,Closed,0
58,NYVB-Incorrect transformation of TEST Data in ATS,NYVB-Incorrect transformation of TEST Data in ATS,3,2,NULL,2018-07-09 00:00:00,2018-07-10 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,LVX-855-78993,3,Closed,0
59,NYVB - Missing Filter in ENQUIRY for success criteria in ATS,NYVB - Missing Filter in ENQUIRY for success criteria in ATS,2,2,NULL,2018-07-09 00:00:00,2018-07-12 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,CFX-766-72076,3,Closed,0
60,"Issue during MSV, some new fields are not retrieved correctly - Stanbic","Issue during MSV, some new fields are not retrieved correctly - Stanbic",5,2,NULL,2018-07-10 00:00:00,2018-07-25 00:00:00,2018-11-22 15:56:13,2500-12-31 23:59:59,VALIDATA,132,3,NULL,110,39,TWP-543-97104,3,Closed,0
61,Empty response in properties for AA via OFS,Empty response in properties for AA via OFS,2,2,NULL,2018-07-11 00:00:00,2018-08-09 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,138,3,NULL,110,39,YJY-437-47564,3,Closed,0
62,NYVB- Wrong Test Data synchronization when running TC with Smart Script,NYVB- Wrong Test Data synchronization when running TC with Smart Script,5,2,NULL,2018-07-11 00:00:00,2018-08-22 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,DRK-605-26626,3,Closed,0
63,"Partial response received from EXPOSURE.CONDITIONS, when using OFS Adapter.","Partial response received from EXPOSURE.CONDITIONS, when using OFS Adapter.",1,2,NULL,2018-07-11 00:00:00,2018-07-13 00:00:00,2018-11-22 15:56:13,2500-12-31 23:59:59,VALIDATA,132,3,NULL,110,39,AHV-824-42836,3,Closed,0
64,Commerce:Flat(Virtual Enquiries) are not part on commerce build. Needed patch,Commerce:Flat(Virtual Enquiries) are not part on commerce build. Needed patch,1,2,NULL,2018-07-13 00:00:00,2018-07-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,131,3,NULL,110,39,CDK-863-97891,3,Closed,0
65,No Test Data synchronisation from ATS in NYVB,No Test Data synchronisation from ATS in NYVB,4,2,NULL,2018-07-23 00:00:00,2018-08-17 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,HQO-906-57131,3,Closed,0
66,"No Test Data synchronization from the ATS when trying to update existing property field in the LOAN ",No Test Data synchronization from the ATS when trying to update existing property field in the LOAN schedule in NYVB project,2,2,NULL,2018-07-23 00:00:00,2018-08-15 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,KPR-258-12519,3,Closed,0
67,Manual Test Case Upload issue- Stanbic,Manual Test Case Upload issue- Stanbic,4,2,NULL,2018-08-08 00:00:00,2018-08-14 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,VMC-844-37647,3,Closed,0
68,Deleting data from more than one Tab in a Test Data Instance Webpage Dialog Box,Deleting data from more than one Tab in a Test Data Instance Webpage Dialog Box,1,2,NULL,2018-08-08 00:00:00,2018-08-22 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,QBQ-763-85813,3,Closed,0
69,Values from Test Data Instance are not set in T24,Values from Test Data Instance are not set in T24,2,2,NULL,2018-08-11 00:00:00,2018-08-14 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,CTZ-769-91152,3,Closed,0
70,Check enq step is not removing old AC if you change step with new Enquiry,Check enq step is not removing old AC if you change step with new Enquiry,1,2,NULL,2018-08-21 00:00:00,2018-08-30 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,138,3,NULL,110,39,RFN-844-93358,3,Closed,0
71,NYVB OFS error,NYVB OFS error,5,2,NULL,2018-09-06 00:00:00,2018-09-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,138,3,NULL,110,39,KLP-453-30631,3,Closed,0
72,Requirements Import Tool Change Requests,Requirements Import Tool Change Requests,2,4,NULL,2018-09-12 00:00:00,2018-09-12 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,131,3,NULL,110,39,UIU-764-97692,3,Closed,0
73,Formula for the calculation of the APY,Formula for the calculation of the APY,2,4,NULL,2018-10-08 00:00:00,2018-10-23 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,XIW-241-76330,3,Closed,0
74,V_Enquiry Problem,V_Enquiry Problem,4,2,NULL,2018-10-10 00:00:00,2018-10-11 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,TBJ-402-19072,3,Closed,0
75,Failde to read HTML nodes,Failde to read HTML nodes,1,2,NULL,2018-10-11 00:00:00,2018-10-11 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,VVF-445-53623,3,Closed,0
76,Enqyury to retrieve the information of Arrangements from AA.ARR.INTEREST,Enqyury to retrieve the information of Arrangements from AA.ARR.INTEREST,1,4,NULL,2018-10-19 00:00:00,2018-11-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,NMO-445-59450,3,Closed,0
77,Periodic Interest retival,Periodic Interest retival,3,4,NULL,2018-10-19 00:00:00,2018-11-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,XPC-509-96840,3,Closed,0
78,New Function in AC- Search SV based on MV- Commerce Bank,New Function in AC- Search SV based on MV- Commerce Bank,3,2,NULL,2018-10-19 00:00:00,2018-10-22 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,ORJ-818-19803,3,Closed,0
79,Execution with web adapter hanges many minuteson the Menu Navigation,Execution with web adapter hanges many minuteson the Menu Navigation,4,3,NULL,2018-10-22 00:00:00,2018-10-24 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,APW-158-66947,3,Closed,0
80,New AC Formula for FIN-003- Commerce,New AC Formula for FIN-003- Commerce,3,2,NULL,2018-10-25 00:00:00,2018-10-29 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,ZTA-899-99934,3,Closed,0
81,Create New AC formula - PAY-003-Commerce,Create New AC formula - PAY-003-Commerce,3,2,NULL,2018-11-05 00:00:00,2018-11-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,HMO-816-94144,3,Closed,0
82,Test Case Failing after setting AC - V_ENQ - Commerce,Test Case Failing after setting AC - V_ENQ - Commerce,3,2,NULL,2018-11-06 00:00:00,2018-11-06 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,MJD-378-15841,3,Closed,0
83,IB Interface -- Sample message sent to T24,IB Interface -- Sample message sent to T24,3,7,NULL,2018-05-03 00:00:00,2018-07-10 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,BAC-605-52269,4,On Hold,0
84,Error message on execution of batch job,Error message on execution of batch job,1,2,NULL,2018-09-20 00:00:00,2018-09-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,GSO-254-95188,4,On Hold,0
85,Not all fields appear in an enquiry on validata,Not all fields appear in an enquiry on validata,1,2,NULL,2018-01-29 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,DKM-836-74251,3,Closed,0
86,Question: T24 R12 Vs T24 R16 & R10,Question: T24 R12 Vs T24 R16 & R10,1,6,NULL,2018-02-23 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,135,2,NULL,110,39,DDC-953-11517,3,Closed,0
87,TAM.BP in Master Project of Prod environment,TAM.BP in Master Project of Prod environment,1,2,NULL,2018-03-06 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,KVR-795-81323,3,Closed,0
88,Baseline shows all CR Packages of the environment that were released in Production and Ready to Be r,Baseline shows all CR Packages of the environment that were released in Production and Ready to Be released in Production,3,2,NULL,2018-03-06 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,DIG-227-33415,3,Closed,0
89,CR 36626 not authorized records when deployed,CR 36626 not authorized records when deployed,1,2,NULL,2018-03-13 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,TBC-496-46389,3,Closed,0
90,Validata Assigned Record is different than Browser Record,Validata Assigned Record is different than Browser Record,3,2,NULL,2018-03-15 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,KKZ-339-73485,3,Closed,0
91,Tasks are not being created for new defects,Tasks are not being created for new defects,3,2,NULL,2018-03-15 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,SVI-754-53587,3,Closed,0
92,Work Package Not Found for IRQ R13,Work Package Not Found for IRQ R13,1,2,NULL,2018-03-15 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,JEQ-589-37467,3,Closed,0
93,"Commerce: Enable AA Simulation ","Commerce: Enable AA Simulation ",2,2,NULL,2018-07-19 00:00:00,2018-10-01 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,QKU-738-87730,3,Closed,0
94,Failures when executing Test Cases on Validata,Failures when executing Test Cases on Validata,1,2,NULL,2018-08-16 00:00:00,2018-09-03 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,NKC-143-71531,3,Closed,0
95,Unable to initiate synchronization with R17 environment,Unable to initiate synchronization with R17 environment,1,2,NULL,2018-08-17 00:00:00,2018-08-29 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,URK-134-22257,3,Closed,0
96,Receiving TOO MANY CHARACTERS error message on OFS Customer create on the Applied/Certified field,Receiving TOO MANY CHARACTERS error message on OFS Customer create on the Applied/Certified field,1,2,NULL,2018-08-20 00:00:00,2018-09-10 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,140,2,NULL,110,39,UUQ-799-45002,3,Closed,0
